title,authors,affiliation,venue,year,latitude,longitude
"Applied Machine Learning Using mlr3 in RApplied Machine Learning Using mlr3 in R, Edited by Bernd Bischl, Raphael Sonabend, Lars Kotthoff, and Michel Lang, Boca Raton, FL: CRC Press, Taylor &amp; Francis Group, Chapman and Hall, 2024, xvii + 339 pp., $ 79.95 (pbk), ISBN 978-1-032-50754-5.: Edited by Bernd Bischl, Raphael Sonabend, Lars Kotthoff, and Michel Lang, Boca Raton, FL: CRC Press, Taylor &amp; Francis Group, Chapman and Hall, 2024, xvii + 339 pp., $ 79.95 (pbk), ISBN 978-1-032-50754-5.",Unknown Author,Technometrics,Technometrics,2024,,
"Data Science and Machine Learning for Non-Programmers Using SAS Enterprise Miner, 1st ed. Data Science and Machine Learning for Non-Programmers Using SAS Enterprise Miner, 1st ed. , Dothang Truong, CRC Press Taylor &amp; Francis Group, 2024. IX + 565 pages, £59,99 (hbk) ISBN: 978-0-367-75538-6 (hbk). Boca Raton and Abingdon. Scope: Textbook. Level: Students, lecturers, researchers, and industry professionals from various backgrounds.: Dothang Truong, CRC Press Taylor &amp; Francis Group, 2024. IX + 565 pages, £59,99 (hbk) ISBN: 978-0-367-75538-6 (hbk). Boca Raton and Abingdon. Scope: Textbook. Level: Students, lecturers, researchers, and industry professionals from various backgrounds.","Egi Rahmansyah, Nur Hidayah, Megawati Zein Waliulu, Hawinda Restu Putri",Technometrics,Technometrics,2024,,
"Molecular Networking Statistical Mechanics in the Age of AI and Machine Learning Molecular Networking Statistical Mechanics in the Age of AI and Machine Learning , Edited by Caroline Desgranges and Jerome Delhommelle, Boca Raton, CRC Press, 2024, 248 pp., £ 110.00, ISBN 9780367438937.: Edited by Caroline Desgranges and Jerome Delhommelle, Boca Raton, CRC Press, 2024, 248 pp., £ 110.00, ISBN 9780367438937.","Zulfaidil, La Ode Muhamad Iqbal, Riani Utami, Sri Redjeki Pudjaprasetya, Warsoma Djohan",Technometrics,Technometrics,2024,,
The role of lifelong machine learning in bridging the gap between human and machine learning: A scientometric analysis.,"Muhammad Abulaish, Nesar Ahmad Wasi, Shachi Sharma",WIREs Data. Mining. Knowl. Discov.,WIREs Data. Mining. Knowl. Discov.,2024,,
The Idealized Machine Learning Pipeline (IMLP) for Advancing Reproducibility in Machine Learning.,"Yantong Zheng, Victoria Stodden",ACM-REP,ACM-REP,2024,,
Unplugged Decision Tree Learning - A Learning Activity for Machine Learning Education in K-12.,"Lukas Lehner, Martina Landman",CMSC,CMSC,2024,45.83521179585931,-110.90181990475989
Meta-Analysis of Rain Nowcasting Using Machine Learning and Non-Machine Learning Models.,"Baptiste Guigal, Laurent Barthes, Aymeric Chazottes, Nicolas Viltard, Erwan Le Bouar, Emmanuel Moreau, Cécile Mallet",IGARSS,IGARSS,2024,,
RT-IoT2022.,"B. S. Sharmila, Rohini Nagapadma",UCI Machine Learning Repository,UCI Machine Learning Repository,2024,,
UR3 CobotOps.,"Marios Tyrovolas, Khurshid Aliev, Dario Antonelli, Chrysostomos D. Stylios",UCI Machine Learning Repository,UCI Machine Learning Repository,2024,,
Detecting Refactoring Commits in Machine Learning Python Projects: A Machine Learning-Based Approach.,"Shayan Noei, Heng Li 0007, Ying Zou 0001",CoRR,CoRR,2024,53.9634467,-7.4991271
Verbalized Machine Learning: Revisiting Machine Learning with Language Models.,"Tim Z. Xiao, Robert Bamler, Bernhard Schölkopf, Weiyang Liu",CoRR,CoRR,2024,53.9634467,-7.4991271
Deep Fast Machine Learning Utils: A Python Library for Streamlined Machine Learning Prototyping.,Unknown Author,CoRR,CoRR,2024,53.9634467,-7.4991271
MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering.,"Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, James Aung, Dane Sherburn, Evan Mays, Giulio Starace, Kevin Liu, Leon Maksin, Tejal Patwardhan, Lilian Weng, Aleksander Madry",CoRR,CoRR,2024,53.9634467,-7.4991271
"Machine Learning in Interaction: Tool, Material, Culture. (Machine Learning en Interaction: Outil, Matériau, Culture).",Unknown Author,Unknown Venue,Unknown Venue,2023,,
Machine Learning im Cost Engineering des Supply Managements (Machine Learning for Cost Engineering in Supply Management),Unknown Author,Unknown Venue,Unknown Venue,2023,,
Machine Learning in Auroral Image Research: Aurora Image Classification using Machine Learning Techniques and Substorm Forecasting.,Unknown Author,Unknown Venue,Unknown Venue,2023,,
Causality concepts in machine learning: heterogeneous treatment effect estimation with machine learning &amp; model interpretation with counterfactual and semi-factual explanations.,Unknown Author,Unknown Venue,Unknown Venue,2023,,
"Transfer Learning for Automated Machine Learning: Meta-feature Learning, Black-box Hyperparameter Optimization and Applications.",Unknown Author,Unknown Venue,Unknown Venue,2023,,
Quantum many-body dynamics for combinatorial optimisation and machine learning. (Dynamique quantique à N-corps pour l&apos;optimisation combinatoire et le machine learning).,Unknown Author,Unknown Venue,Unknown Venue,2023,,
Exploring fairness and privacy in machine learning. (Exploring fairness and privacy in machine learning).,Unknown Author,Unknown Venue,Unknown Venue,2023,,
Understanding the Brain using Machine Learning and Enhancing Machine Learning with Neuroscience,Unknown Author,Unknown Venue,Unknown Venue,2023,,
Personalized Adaptive Learning Technologies Based on Machine Learning Techniques to Identify Learning Styles: A Systematic Literature Review.,"Saadia Gutta Essa, Turgay Çelik 0001, Nadia Emelia Human-Hendricks",IEEE Access,IEEE Access,2023,,
Analysis of Learning Behavior Characteristics and Prediction of Learning Effect for Improving College Students&apos; Information Literacy Based on Machine Learning.,"Yong Shi 0004, Fang Sun, Hongkun Zuo, Fei Peng",IEEE Access,IEEE Access,2023,,
Automatische Erfassung und Analyse der Oberflächenbeschaffenheit von Radwegen mittels Machine Learning - ein mehrstufiger Ansatz / Automatic Surface Analyzation of Bicycle Paths Using Machine Learning - A Multi-Stage Approach.,"Oliver Taminé, Jochen Baier, Johannes Deyringer, Büsra Alili, Eric Sartorius, Meryem Demir, Niko Kauz",AGIT Journal Angew. Geoinformatik,AGIT Journal Angew. Geoinformatik,2023,,
Predicting individual learning performance using machine-learning hybridized with the teaching-learning-based optimization.,"Mehrdad Arashpour, Emadaldin Mohammadi Golafshani, Rajendran Parthiban, Julia Lamborn, Alireza Kashani, Heng Li 0001, Parisa Farzanehfar",Comput. Appl. Eng. Educ.,Comput. Appl. Eng. Educ.,2023,,
Breast Tumor Classification using Machine Learning: Breast Tumor Classification using Machine Learning.,"Salman Siddiqui, Mohd Usman Mallick, Ankur Varshney",EAI Endorsed Trans. Context aware Syst. Appl.,EAI Endorsed Trans. Context aware Syst. Appl.,2023,,
Exploring students&apos; learning support use in digital game-based math learning: A mixed-methods approach using machine learning and multi-cases study.,"Chih-Pu Dai, Fengfeng Ke, Yanjun Pan 0004, Yaning Liu",Comput. Educ.,Comput. Educ.,2023,,
Simple rules outperform machine learning for personnel selection: insights from the 3rd annual SIOP machine learning competition.,"Jason L. Harman, Jaelle Scheuerman",Discov. Artif. Intell.,Discov. Artif. Intell.,2023,,
"Comment on Saha, S., Saha, A., Roy, B. et al. (2022a) Integrating the particle swarm optimization (PSO) with machine learning methods for improving the accuracy of the landslide susceptibility model. Earth Sci Inform 15, 2637-2662. https://doi.org/10.1007/s12145-022-00878-5 and Saha, S., Saha, A., Roy, B. et al. (2022b) correction to: Integrating the particle swarm optimization (PSO) with machine learning methods for improving the accuracy of the landslide susceptibility model. Earth Sci Inform 15, 2663-2664 https://doi.org/10.1007/s12145-022-00892-7.",Unknown Author,Earth Sci. Informatics,Earth Sci. Informatics,2023,,
Machine Learning Approach for an Adaptive E-Learning System Based on Kolb Learning Styles.,"Chaimae Waladi, Mohamed Khaldi, Mohammed Lamarti Sefian",Int. J. Emerg. Technol. Learn.,Int. J. Emerg. Technol. Learn.,2023,,
Comparison of machine learning and conventional logistic regression-based prediction models for gestational diabetes in an ethnically diverse population; the Monash GDM Machine learning model.,"Yitayeh Belsti, Lisa Moran, Lan Du 0002, Aya Mousa, Kushan De Silva, Joanne Enticott, Helena Teede",Int. J. Medical Informatics,Int. J. Medical Informatics,2023,,
Bringing Machine Learning Systems into Clinical Practice: A Design Science Approach to Explainable Machine Learning-Based Clinical Decision Support Systems.,"Luisa Pumplun, Felix Peters, Joshua F. Gawlitza, Peter Buxmann",J. Assoc. Inf. Syst.,J. Assoc. Inf. Syst.,2023,,
Power transformers fault diagnosis based on a meta-learning approach to kernel extreme learning machine with opposition-based learning sparrow search algorithm.,"Song Yu, Weimin Tan, Chengming Zhang, Chao Tang, Lihong Cai, Dong Hu",J. Intell. Fuzzy Syst.,J. Intell. Fuzzy Syst.,2023,,
Offshore Hydrocarbon Exploitation Target Extraction Based on Time-Series Night Light Remote Sensing Images and Machine Learning Models: A Comparison of Six Machine Learning Algorithms and Their Multi-Feature Importance.,"Rui Ma, Wenzhou Wu, Qi Wang, Na Liu, Yutong Chang",Remote. Sens.,Remote. Sens.,2023,,
"Post-Shrinkage Strategies in Statistical and Machine Learning for High Dimensional DataPost-Shrinkage Strategies in Statistical and Machine Learning for High Dimensional Data, Syed Ejaz Ahmed, Feryaal Ahmed, and Bahadir Yüzbaşı, New York: Chapman and Hall/CRC Press, 2023, 408 pp., ISBN 9780367763442.",Unknown Author,Technometrics,Technometrics,2023,,
Mixed effects in machine learning - A flexible mixedML framework to add random effects to supervised machine learning regression.,"Pascal Kilian, Sangbeak Ye, Augustin Kelava",Trans. Mach. Learn. Res.,Trans. Mach. Learn. Res.,2023,,
Machine Learning Feature Based Job Scheduling for Distributed Machine Learning Clusters.,"Haoyu Wang 0003, Zetian Liu, Haiying Shen",IEEE/ACM Trans. Netw.,IEEE/ACM Trans. Netw.,2023,,
Exploring the Vulnerabilities of Machine Learning and Quantum Machine Learning to Adversarial Attacks Using a Malware Dataset: A Comparative Analysis.,"Mst. Shapna Akter, Hossain Shahriar, Iysa Iqbal, Md Faruque Hossain, M. A. Karim, Victor Clincy, Razvan Voicu",SSE,SSE,2023,52.529188000000005,13.452652736989002
Hybrid Machine Learning/Knowledge Base Systems Learning through Natural Language Dialogue with Deep Learning Models.,"Sergei Nirenburg, Nikhil Krishnaswamy, Marjorie McShane",AAAI Spring Symposium - MAKE,AAAI Spring Symposium - MAKE,2023,,
"Developing Machine Learning Agency Among Youth: Investigating Youth Critical Use, Examination, and Production of Machine Learning Applications.",Unknown Author,IDC,IDC,2023,47.1480003,29.2949971
A Machine Learning Based Approach to Detect Machine Learning Design Patterns.,"Weitao Pan, Hironori Washizaki, Nobukazu Yoshioka, Yoshiaki Fukazawa, Foutse Khomh, Yann-Gaël Guéhéneuc",APSEC,APSEC,2023,,
Reimagining Machine Learning&apos;s Role in Assistive Technology by Co-Designing Exergames with Children Using a Participatory Machine Learning Design Probe.,"Jared Duval, Laia Turmo Vidal, Elena Márquez Segura, Yinchu Li, Annika Waern",ASSETS,ASSETS,2023,35.2829983,-120.6585234
A Comparative Study of Machine Learning and Automatic Machine Learning Models for Facial Mask Recognition.,Unknown Author,ICCCS,ICCCS,2023,,
Fairness in machine learning from the perspective of sociology of statistics: How machine learning is becoming scientific by turning its back on metrological realism.,Unknown Author,FAccT,FAccT,2023,,
Torwards Trustworthy Machine Learning based systems: Evaluating breast cancer predictions interpretability using Human Centered Machine Learning and UX Techniques.,"Jonathan Ugalde, Eduardo Godoy, Diego Mellado, Eduardo Cavieres, Bastian Carvajal, Carlos Fernández, Pamela Illescas, Rodrigo H. Avaria, Claudia Díaz, Rodrigo Ferreira, Marvin Querales, Scarlett Lever, Julio Sotelo, Stéren Chabert, Rodrigo Salas 0001",HCI,HCI,2023,10.3619681,125.24518375514369
The Application of Machine Learning Algorithms in Predicting the Usage of IoT-based Cleaning Dispensers: Machine Learning Algorithms in Predicting the Usage if IoT-based Dispensers.,"Tobechi Obinwanne, Chibuzor Udokwu, Patrick Brandtner",ICEEG,ICEEG,2023,,
Transfer Learning Method for Handling The Intrusion Detection System with Zero Attacks Using Machine Learning and Deep Learning.,"Talluri Upender, Bechoo Lal, Regonda Nagaraju",ICIMMI,ICIMMI,2023,,
A Catalog of Public Glaucoma Datasets for Machine Learning Applications: A detailed description and analysis of public glaucoma datasets available to machine learning engineers tackling glaucoma-related problems using retinal fundus images and OCT images.,"Riley Kiefer, Muhammad R. Abid 0001, Jessica Steen, Mahsa Raeisi Ardali, Ehsan Amjadian",ICISDM,ICISDM,2023,,
Fairer Machine Learning Through the Hybrid of Multi-objective Evolutionary Learning and Adversarial Learning.,"Shenhao Gui, Qingquan Zhang, Changwu Huang, Bo Yuan 0006",IJCNN,IJCNN,2023,,
Exploring the Potential of Quantum-Based Machine Learning: A Comparative Study of QSVM and Classical Machine Learning Algorithms.,"Zeynep Ozpolat, Murat Karabatak",ISDFS,ISDFS,2023,,
"Sentiment analysis in digital learning: Comparing Lexical, Traditional machine learning, and deep learning approaches.","Mohammed Amraouy, Mohammed Majid Himmi, Mostafa Bellafkih, Jallal Talaghzi, Abdellah Bennane",SITA,SITA,2023,47.3150264,24.18156
Mix &amp; Match Machine Learning: An Ideation Toolkit to Design Machine Learning-Enabled Solutions.,"Anniek Jansen, Sara Colombo",TEI,TEI,2023,45.817512,12.885024
"Asian Conference on Machine Learning, ACML 2023, 11-14 November 2023, Istanbul, Turkey.","Berrin Yanikoglu, Wray L. Buntine","['ACML', 'Proceedings of Machine Learning Research']","['ACML', 'Proceedings of Machine Learning Research']",2023,,
"International Conference on Automated Machine Learning, 12-15 November 2023, Hasso Plattner Institute, Potsdam, Germany.","Aleksandra Faust, Roman Garnett, Colin White, Frank Hutter, Jacob R. Gardner","['AutoML', 'Proceedings of Machine Learning Research']","['AutoML', 'Proceedings of Machine Learning Research']",2023,,
"Gaze Meets Machine Learning Workshop, 16 December 2023, New Orleans, Louisiana, USA.","Amarachi Madu Blessing, Joy T. Wu, Danca Zario, Elizabeth A. Krupinski, Satyananda Kashyap, Alexandros Karargyris","['Gaze Meets ML', 'Proceedings of Machine Learning Research']","['Gaze Meets ML', 'Proceedings of Machine Learning Research']",2023,,
"International Conference on Machine Learning, ICML 2023, 23-29 July 2023, Honolulu, Hawaii, USA.","Andreas Krause 0001, Emma Brunskill, Kyunghyun Cho, Barbara Engelhardt, Sivan Sabato, Jonathan Scarlett","['ICML', 'Proceedings of Machine Learning Research']","['ICML', 'Proceedings of Machine Learning Research']",2023,,
"Machine Learning for Health, ML4H@NeurIPS 2023, 10 December 2023, New Orleans, Louisiana, USA.","Stefan Hegselmann, Antonio Parziale, Divya Shanmugam, Shengpu Tang, Mercy Nyamewaa Asiedu, Serina Chang, Tom Hartvigsen, Harvineet Singh","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']",2023,,
"Machine Learning in Computational Biology, November 30 - December 1, 2023, Seattle, WA, USA.","David A. Knowles, Sara Mostafavi","['MLCB', 'Proceedings of Machine Learning Research']","['MLCB', 'Proceedings of Machine Learning Research']",2023,,
"Machine Learning for Healthcare Conference, MLHC 2023, 11-12 August 2023, New York, USA.","Kaivalya Deshpande, Madalina Fiterau, Shalmali Joshi, Zachary C. Lipton, Rajesh Ranganath, Iñigo Urteaga, Serene Yeung","['MLHC', 'Proceedings of Machine Learning Research']","['MLHC', 'Proceedings of Machine Learning Research']",2023,,
"Proceedings of MACLEAN: MAChine Learning for EArth ObservatioN Workshop co-located with the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML/PKDD 2022), Grenoble, France, September 18-22, 2022.","Thomas Corpetti, Dino Ienco, Roberto Interdonato, Minh-Tan Pham, Sébastien Lefèvre","['MACLEAN@PKDD/ECML', 'CEUR Workshop Proceedings']","['MACLEAN@PKDD/ECML', 'CEUR Workshop Proceedings']",2023,,
